date,RMRF,SMB,HML,RMW,CMA,WML,Rev
1999-08-09,-0.0097,-0.0238,-0.0341,0.0183,-0.0284,-0.0031,0.0031
1999-08-10,-0.0122,-0.0041,0.0098,-0.0242,-0.0094,0.0055,-0.0055
1999-08-11,0.0295,0.0128,-0.0259,-0.0037,0.0265,-0.0305,0.0305
1999-08-12,-0.0097,0.0076,0.0043,-0.0272,-0.0062,0.0297,-0.0297
1999-08-13,0.0127,0.0071,0.033,0.024,0.0087,-5e-4,5e-4
1999-08-16,-0.0068,-0.0231,0.0085,0.0175,-0.0257,0.0168,-0.0168
1999-08-17,-0.0201,-0.0036,0.0417,-0.0166,0.0057,0.0388,-0.0388
1999-08-18,-0.0247,-0.0185,-0.0323,-0.0452,5e-4,0.0176,-0.0176
1999-08-19,0.0125,-0.0016,0.0032,0.0091,4e-4,-0.0065,0.0065
1999-08-20,0.0318,-0.0145,-0.0149,-0.0385,0.0291,-0.0074,0.0074
1999-08-23,0.003,0.0161,0.0043,0.0311,-0.0045,0.0016,-0.0016
1999-08-24,0.0124,-0.0023,-0.0113,0.0292,-0.0146,-0.0088,0.0088
1999-08-25,0.0314,0.0398,0.0081,0.0136,-0.0163,-0.0692,0.0692
1999-08-26,-0.0153,-0.0098,0.0076,-0.045,0.0097,0.0187,-0.0187
1999-08-27,0.004,-0.0115,0.0017,-0.0016,-5e-4,0.0092,-0.0092
1999-08-30,-0.0027,-0.0089,-0.0218,-0.0136,-0.0061,2e-4,-2e-4
1999-08-31,0.0031,-0.0085,-0.043,-0.0056,0.0018,-0.015,0.015
1999-09-01,0.0308,0.0145,0.0067,0.022,0.018,-0.0121,0.0121
1999-09-02,0.0081,0.0055,-0.0054,0.0141,0.0101,-0.0133,0.0133
1999-09-03,0.0136,0.0087,-0.0033,0.007,0.0233,-0.0126,0.0126
1999-09-06,0.0019,-0.0063,0.0064,9e-4,-0.0135,0.0013,-0.0013
1999-09-08,-0.0092,-0.0146,-0.0165,0.0107,-8e-4,0.0111,-0.0111
1999-09-09,0.0174,9e-4,0.018,0.0239,0.005,-0.0038,0.0038
1999-09-10,0.0056,0.0243,0.0395,-0.0092,0.0181,-0.0052,0.0052
1999-09-13,0.0093,0.0035,-0.0205,-0.0354,0.0153,-0.0233,0.0233
1999-09-14,-0.0023,-0.0059,-0.0114,-0.0113,3e-4,-0.0036,0.0036
1999-09-15,-0.0179,-0.0108,-0.0171,0.0139,-0.0116,0.008,-0.008
1999-09-16,-0.0158,0.0048,-0.0026,-0.036,0.0112,0.0154,-0.0154
1999-09-17,0.0168,-0.0197,-0.0085,0.0202,0.0136,0.0053,-0.0053
1999-09-20,0.0252,0.0118,-0.0133,0.0092,0.0169,-0.0161,0.0161
1999-09-21,-0.0126,0.0017,0.0112,-0.0111,0.0041,0.0132,-0.0132
1999-09-22,0.0064,-0.0033,-0.0058,-0.0033,0.0101,0.002,-0.002
1999-09-23,-0.0134,0.0054,0.0331,-0.0372,0.0032,-0.0027,0.0027
